"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Østersøen 1851 10 16 - Østersøen 1851 12 31","259514","48413718","366","512","48413870","366","664"
"Nordsøen 1852 1 1 - Nordsøen 1852 6 20","259515","48413871","367","4","48414123","367","256"
"Nordsøen 1852 6 20 - Nordsøen 1852 9 20","259516","48414124","367","258","48414376","367","510"
"Nordsøen 1852 9 20 - Nordsøen 1852 12 31","259517","48414377","367","512","48414523","367","658"
"Østersøen 1852 1 1 - Østersøen 1852 7 21","259518","48414524","368","4","48414776","368","256"
"Østersøen 1852 7 21 - Østersøen 1852 10 29","259519","48414777","368","258","48415028","368","510"
"Østersøen 1852 10 29 - Østersøen 1852 12 31","259520","48415029","368","512","48415113","368","596"
"Afgiftsfrie fra Nordsøen 1852 6 14 - 12 29","259525","0","369","4","0","369","72"
"Nordsøen 1853 1 2 - Nordsøen 1853 6 26","259527","48415963","369","74","48416215","369","326"
"Nordsøen 1853 6 27 - Nordsøen 1853 9 22","259528","48416216","369","328","48416468","369","580"
"Nordsøen 1853 9 22 - Nordsøen 1853 12 31","259526","48415846","369","582","48415962","369","698"
