cid,city,country,lat,lon,in_hre,in_cne,city_id,name_loc
1878,Stendal,Germany,52.6,11.85,True,True,11145,Stendal
1886,Stralsund,Germany,54.32,13.13,True,True,2018,Stralsund
1887,Strasbourg,France,48.58,7.75,False,True,21035,Kehl
1888,Straubing,Germany,48.88,12.57,True,True,23139,Straubing
1890,Stuttgart,Germany,48.77,9.18,True,True,16081,Stuttgart
1895,Suhl,Germany,50.62,10.72,True,True,11148,Suhl
1896,Sulechow,Poland,52.1,15.62,False,True,7155,Zuellichau
1906,Swidnik,Poland,50.85,16.48,False,True,8142,Schweidnitz
1911,Szczecin,Poland,53.4,14.53,False,True,3064,Stettin
1964,Toenning,Germany,54.32,8.93,True,True,5045,Toenning
1974,Torgau,Germany,51.57,13.0,True,True,11155,Torgau
2003,Trier,Germany,49.75,6.63,True,True,18090,Trier
2014,Tuebingen,Germany,48.52,9.07,True,True,17061,Tuebingen
2029,Ulm,Germany,48.4,10.0,True,True,16085,Ulm
2032,Unna,Germany,51.53,7.68,True,True,13143,Unna
2062,Velbert,Germany,51.37,7.03,True,True,14104,Velbert
2077,Verden,Germany,52.92,9.22,True,True,12127,Verden
2096,Viersen,Germany,51.25,6.38,True,True,14105,Viersen
2156,Walbrzych,Poland,50.78,16.28,False,True,8160,Waldenburg (Schles.)
2158,Warburg,Germany,51.48,9.17,True,True,13150,Warburg
2167,Weimar,Germany,50.98,11.32,True,True,10098,Weimar
2168,Weissenfels,Germany,51.2,11.97,True,True,11161,Weissenfels
2171,Werden,Germany,51.38,7.0,True,True,14031,Essen-Werden
2172,Wesel,Germany,51.67,6.63,True,True,14107,Wesel
2176,Wetzlar,Germany,50.55,8.55,True,True,15150,Wetzlar
2182,Wiesbaden,Germany,50.08,8.23,True,True,15151,Wiesbaden
2189,Wismar,Germany,53.88,11.47,True,True,4051,Wismar
2191,Wittenberg,Germany,51.87,12.65,True,True,11167,Wittenberg
2192,Wolfenbuettel,Germany,52.17,10.53,True,True,12138,Wolfenbuettel
2193,Wolfsburg,Germany,52.42,10.78,True,True,12139,Wolfsburg
2194,Wolin,Poland,53.84,14.62,False,True,3078,Wollin
2200,Worms,Germany,49.63,8.37,True,True,18097,Worms
2201,Wroclaw,Poland,51.1,17.0,False,True,8007,Breslau
2202,Wschowa,Poland,51.8,16.32,False,True,8023,Fraustadt
2203,Wuelfrath,Germany,51.28,7.03,True,True,14110,Wuelfrath
2204,Wuerzburg,Germany,49.8,9.93,True,True,22145,Wuerzburg
2214,Zabrze,Poland,50.3,18.78,False,True,8050,Hindenburg O.S.
2216,Zagan,Poland,51.62,15.32,False,True,8133,Sagan
2225,Zeitz,Germany,51.05,12.13,True,True,11172,Zeitz
2229,Zerbst,Germany,51.97,12.1,True,True,11173,Zerbst
2232,Zielona Gora,Poland,51.98,15.52,False,True,8043,Gruenberg (Schlesien)
2235,Zittau,Germany,50.9,14.83,True,True,9159,Zittau
2238,Zlotoryja,Poland,51.13,15.92,False,True,8035,Goldberg in Niederschlesien
2247,Zweibruecken,Germany,49.25,7.35,True,True,18099,Zweibruecken
2248,Zwickau,Germany,50.73,12.48,True,True,9163,Zwickau
