city_id,comment,time_point,type_conflict,type_detail,warlabel,overreported,uncertainty,range,ThirtyYW_leader,ThirtyYW_conflict_party,ThirtyYW_territory,ThirtyYW_country,source
2007,Waehrende des groszen nord. Krieges wurde 1711 von den Russen besetzt und war zeitweilig der Sitz des russ. Hauptquartiers,1711,3,cd1,0,0,0,0,,,,,"10, 11"
2007,Waehrende des groszen nord. Krieges wurde 1711 von den Russen besetzt und war zeitweilig der Sitz des russ. Hauptquartiers,1711,3,c7,0,0,0,0,,,,,"10, 11"
2009,1659 vergebl Belagerung durch den Groszen Kurfuersten,1659,3,d2,0,0,0,0,,,,,"10, 11"
2009,1678 nach nochmaliger Belagerung Eroberung der Stadt durch den Groszen Kurfuesrten,1678,3,d2,0,0,0,0,,,,,"10, 11"
2009,1678 nach nochmaliger Belagerung Eroberung der Stadt durch den Groszen Kurfuesrten,1678,1,e2,0,0,0,0,,,,,"10, 11"
2009,"Im 30jK vollstaendige Vernichtung des Wohlstandes der Buerger, hauptsaechl infolge starker Belegung mit kaiserl. Truppen 1627-31",1627,3,c2,2,0,0,0,5,1,29,3,"10, 11"
2009,Im 7jK war es 1758 und 1759 durch preusz. Truppen besetzt,1758,3,cd1,0,0,0,0,,,,,"10, 11"
2009,Im 7jK war es 1758 und 1759 durch preusz. Truppen besetzt,1759,3,cd1,0,0,0,0,,,,,"10, 11"
2009,Seit 1631 von schwed. Truppen besetzt,1631,3,cd1,0,0,1,2,,,,,"10, 11"
2009,Waehrend des Nord. Krieges hatte Gr. 1711-13 durch Besatzungen saechs. Daen. Poln. Und russ . Truppen stark zu leiden,1711,3,cd1,0,0,0,0,,,,,"10, 11"
2010,In den Ruegischen Erbfolgekriegen mehrmals von den Mecklenburgern erobert ,1326,1,e2,0,0,0,0,,,,,"10, 11"
2010,In den Ruegischen Erbfolgekriegen mehrmals von den Mecklenburgern erobert ,1340,1,e2,0,0,0,2,,,,,"10, 11"
2012,1630 und 1637 viel gelitten,1630,1,f1,2,0,0,0,0,0,0,0,"10, 11"
2012,1630 und 1637 viel gelitten,1637,1,f1,2,0,0,0,0,0,0,0,"10, 11"
2012,1712 von den Russen gebrandschatzt,1712,3,b4,0,0,0,0,,,,,"10, 11"
2012,1758 Gefechte zwischen Preuszen und Schweden,1758,1,e5,0,0,0,0,,,,,"10, 11"
2015,1445 vom Mkgr. Friedrich II von Brandenburg ohne Erfolg belagert,1445,3,d2,0,0,0,0,,,,,"10, 11"
2015,1630 wurde P. Im Kampfe der Schweden und Kaiserl. Erstuermt und von den Kaiserl. Unter Oberst Goetze niedergebrannt,1630,1,e9,2,0,0,0,34,1,3,3,"10, 11"
2015,1630 wurde P. Im Kampfe der Schweden und Kaiserl. Erstuermt und von den Kaiserl. Unter Oberst Goetze niedergebrannt,1630,2,a3,2,0,0,0,34,1,3,3,"10, 11"
2015,"1636,37 wieder von den Kaiserl. Gepluendert",1636,3,b3,2,0,0,0,5,1,29,3,"10, 11"
2015,"1636,37 wieder von den Kaiserl. Gepluendert",1637,3,b3,2,0,0,0,5,1,29,3,"10, 11"
2015,1657 im Schwed. Poln. Erbfolgekireg von den Polen verwuestet,1657,2,a1,0,0,0,0,,,,,"10, 11"
2015,1713 im Nord Kriege von Russen und Daenen gepluendert,1713,3,b3,0,0,0,0,,,,,"10, 11"
2016,1468 vergebl von Kurf Freidrich Ii belagert,1468,3,d2,0,0,0,0,,,,,"10, 11"
2018,GrKurf belagerte und bezwang die Stadt 1678,1678,1,e2,0,0,0,0,,,,,"10, 11"
2018,GrKurf belagerte und bezwang die Stadt 1678,1678,3,d2,0,0,0,0,,,,,"10, 11"
2018,"Karl XII von Schweden wagte 1715 nochmal sein Waffenglueck und verteidigte die Stadt mehrere Monate gegen den Anstrum der verbuendeten Daenen, Preuszen und Sachsen, bis die Stadt am 23. Dezember zur Kapitulation gezwungen wurde",1715,1,e9,0,0,0,0,,,,,"10, 11"
2019,1468 wurde die Stadt von mecklb. Truppen waehrend des Stettiner Erbfolgestreits verbrannt,1468,2,a3,0,0,0,0,,,,,"10, 11"
